Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52476830,The Push,Ashley Audrain,"Audrain, Ashley",,"=""1984881663""","=""9781984881663""",0,4.04,Pamela Dorman Books,Hardcover,307,2021,2021,,2021/04/24,to-read,to-read (#7),to-read,,,,0,0
53137893,The Wife Upstairs,Rachel Hawkins,"Hawkins, Rachel",,"=""1250245494""","=""9781250245496""",0,3.72,St. Martin's Press,Hardcover,290,2021,2021,,2021/04/24,to-read,to-read (#6),to-read,,,,0,0
39074550,Humble Pi: A Comedy of Maths Errors,Matt    Parker,"Parker, Matt",,"=""0241360196""","=""9780241360194""",5,4.10,Allen Lane,Paperback,314,2019,2019,2021/04/23,2021/01/13,,,read,,,,1,0
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""""","=""""",5,3.86,Penguin Books,Kindle Edition,382,2020,2020,,2021/01/10,,,read,,,,1,0
52767659,The End of Everything (Astrophysically Speaking),Katie  Mack,"Mack, Katie",,"=""198210354X""","=""9781982103545""",5,4.26,Scribner,Hardcover,226,2020,2020,2021/01/13,2020/11/25,,,read,,,,1,0
16130537,The Humans,Matt Haig,"Haig, Matt",,"=""1476727910""","=""9781476727912""",5,4.07,Simon & Schuster,Hardcover,285,2013,2013,,2021/01/10,,,read,,,,1,0
28815371,The Mothers,Brit Bennett,"Bennett, Brit",,"=""0399184511""","=""9780399184512""",0,3.88,Riverhead Books,Hardcover,288,2016,2016,,2021/01/10,to-read,to-read (#5),to-read,,,,0,0
37539457,Normal People,Sally Rooney,"Rooney, Sally",,"=""0571334644""","=""9780571334643""",5,3.81,Faber & Faber,Hardcover,266,2018,2018,2020/11/25,2020/05/16,,,read,,,,1,0
32075861,The Essex Serpent,Sarah Perry,"Perry, Sarah",,"=""0062666371""","=""9780062666376""",4,3.52,Mariner Books,Hardcover,422,2017,2016,,2020/11/17,,,read,,,,1,0
31434883,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""0735220689""","=""9780735220683""",0,4.23,Pamela Dorman Books / Viking,Hardcover,336,2017,2017,,2020/11/17,,,read,,,,1,0
